"","AL","AR","AT","AU","BD","BG","BO","BR","BY","CA","CH","CL","CN","CO","DE","DK","EC","ES","FI","FJ","FR","GB","GF","GR","HK","ID","IN","IS","IT","JP","KH","KR","LA","LK","LV","MD","MM","MY","NL","NO","NP","NZ","PE","PH","PT","PY","RO","RS","SE","SG","TH","TW","UA","US","UY","VE","VN"
"AL",2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000,2832000
"AR",40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000,40117000
"AT",8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860,8451860
"AU",22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000,22902000
"BD",142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000,142319000
"BG",7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000,7284000
"BO",10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000,10624000
"BR",192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000,192400000
"BY",9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000,9460000
"CA",35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000
