"","AL","AR","AT","AU","BD","BG","BO","BR","BY","CA","CH","CL","CN","CO","DE","DK","EC","ES","FI","FJ","FR","GB","GF","GR","HK","ID","IN","IS","IT","JP","KH","KR","LA","LK","LV","MD","MM","MY","NL","NO","NP","NZ","PE","PH","PT","PY","RO","RS","SE","SG","TH","TW","UA","US","UY","VE","VN"
"CH",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"CL",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"CN",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"CO",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"DE",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"DK",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"EC",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"ES",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"FI",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"FJ",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"FR",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"GB",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"GF",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"GR",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"HK",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"ID",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"IN",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"IS",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"IT",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"JP",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"KH",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"KR",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"LA",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"LK",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"LV",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"MD",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"MM",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"MY",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"NL",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"NO",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"NP",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"NZ",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"PE",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"PH",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"PT",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"PY",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"RO",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"RS",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"SE",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"SG",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"TH",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"TW",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"UA",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"US",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"UY",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"VE",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"VN",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
