"","AL","AR","AT","AU","BD","BG","BO","BR","BY","CA","CH","CL","CN","CO","DE","DK","EC","ES","FI","FJ","FR","GB","GF","GR","HK","ID","IN","IS","IT","JP","KH","KR","LA","LK","LV","MD","MM","MY","NL","NO","NP","NZ","PE","PH","PT","PY","RO","RS","SE","SG","TH","TW","UA","US","UY","VE","VN"
"AL",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"AR",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"AT",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"AU",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"BD",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"BG",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"BO",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"BR",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"BY",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
"CA",2832000,40117000,8451860,22902000,142319000,7284000,10624000,192400000,9460000,35000000,7952000,17402000,1347350000,47015000,80500000,5580000,14483000,46185000,5408000,861000,65350000,62262000,224000,10787000,7103000,237641000,1210570000,320000,59464000,127300000,13396000,48580000,6256000,20653000,2070000,3560000,47963000,30017000,16838000,5009000,26621000,4434000,30135000,92340000,10487000,6382000,19043000,7120000,9490000,5184000,65500000,23293593,45426000,317000000,3251000,27150000,87840000
