A/ARGENTINA/10/2001	AR
A/ARGENTINA/13/2001	AR
A/ARGENTINA/25/2001	AR
A/ARGENTINA/3758/2001	AR
A/ARGENTINA/3759/2001	AR
A/ARGENTINA/44/2001	AR
A/ARGENTINA/5/2001	AR
A/ARGENTINA/5995/2000	AR
A/ARGENTINA/mc5/2001	AR
A/Alabama/WRAIR1242P/2009	US
A/Alaska/02/2010	US
A/Albania/250/2009	AL
A/Alexandroupolis/118/2005	GR
A/Alexandroupolis/16/2005	GR
A/Alexandroupolis/99/2007	GR
A/Andaman/071559/021107	IN
A/Aragon/RR-3438/2008	ES
A/Argentina/01/2010	AR
A/Argentina/117/2007	AR
A/Argentina/146/2007	AR
A/Argentina/27724/2010	AR
A/Argentina/27891/2010	AR
A/Argentina/28342/2010	AR
A/Argentina/28367/2010	AR
A/Argentina/28370/2010	AR
A/Argentina/28378/2010	AR
A/Argentina/28379/2010	AR
A/Argentina/3689/2007	AR
A/Argentina/3726/2007	AR
A/Argentina/3743/2007	AR
A/Argentina/3888/2007	AR
A/Argentina/389/2007	AR
A/Argentina/405/2007	AR
A/Argentina/445/2007	AR
A/Argentina/449/2007	AR
A/Argentina/7646/2009	AR
A/Argentina/8409/2010	AR
A/Ashburton/280/2004	NZ
A/Auckland/17/2008	NZ
A/Auckland/599/2000	NZ
A/Auckland/602/2001	NZ
A/Auckland/603/2001	NZ
A/Auckland/611/2002	NZ
A/Australia/2/2009	AU
A/Australia/22/2009	AU
A/Australia/30/2009	AU
A/Australia/34/2009	AU
A/Australia/NHRC0012/2005	AU
A/Austria/134855/2004	AT
A/Austria/138112/2004	AT
A/Austria/138263/2004	AT
A/Austria/138808/2004	AT
A/Austria/141367/2004	AT
A/Austria/211557/2005	AT
A/Austria/76036/2003	AT
A/Austria/76165/2003	AT
A/Austria/76359/2003	AT
A/Austria/79477/2003	AT
A/Austria/79798/2003	AT
A/BANGKOK/109/2002	TH
A/BANGKOK/115/2001	TH
A/BANGKOK/178/2000	TH
A/BANGKOK/190/2002	TH
A/BANGKOK/202/2000	TH
A/BANGKOK/224/2001	TH
A/BANGKOK/226/2001	TH
A/BANGKOK/27/2000	TH
A/BANGKOK/28/2001	TH
A/BANGKOK/328/2001	TH
A/BANGKOK/480/2001	TH
A/BANGKOK/504/2001	TH
A/BANGKOK/62/2000	TH
A/BANGKOK/86/2001	TH
A/BEIJING/114/2001	CN
A/BEIJING/144/2001	CN
A/BEIJING/157/2001	CN
A/BEIJING/159/2001	CN
A/BEIJING/161/2001	CN
A/BEIJING/188/2001	CN
A/BRAZIL/10/2000	BR
A/BRAZIL/18a/2000	BR
A/BRAZIL/2030/2002	BR
A/BRAZIL/2c/2000	BR
A/BRAZIL/4b/2000	BR
A/BRAZIL/5/2002	BR
A/BRAZIL/694/2000	BR
A/BRAZIL/718/2000	BR
A/BRAZIL/822/2001	BR
A/BRAZIL/991/2000	BR
A/BRISBANE/100/2009	AU
A/BRISBANE/122/2010	AU
A/BRISBANE/219/2010	AU
A/BRISBANE/258/2010	AU
A/BRISBANE/262/2010	AU
A/BRISBANE/3/2000	AU
A/BULGARIA/113/2000	BG
A/BULGARIA/28/2001	BG
A/BULGARIA/874/2000	BG
A/Bahia/100/2011	BR
A/Bahia/44/2011	BR
A/Bahia/45/2011	BR
A/Bahia/65/2011	BR
A/Bahia/97/2011	BR
A/Bahia/98/2011	BR
A/Baleares/RR6848/2010	ES
A/Bangladesh/1695/2007	BD
A/Bangladesh/2009/2008	BD
A/Bangladesh/2012/2010	BD
A/Bangladesh/2363/2009	BD
A/Bangladesh/2425/2009	BD
A/Bangladesh/3017/2008	BD
A/Bangladesh/30376/2007	BD
A/Bangladesh/3161/2010	BD
A/Bangladesh/4699/2007	BD
A/Bangladesh/483/2009	BD
A/Bangladesh/5004/2010	BD
A/Bangladesh/5014/2009	BD
A/Bangladesh/7772/2009	BD
A/Bangladesh/8004/2010	BD
A/Bangladesh/9745/2007	BD
A/Bangladesh/9890/2008	BD
A/Bangladesh/C5_12/2003	BD
A/Bangladesh/C5_15/2003	BD
A/Bangladesh/C5_16/2003	BD
A/Bangladesh/C5_17/2003	BD
A/Bangladesh/C5_18/2003	BD
A/Bangladesh/C5_19/2003	BD
A/Bangladesh/C5_21/2003	BD
A/Bangladesh/C5_24/2003	BD
A/Bangladesh/C5_25/2003	BD
A/Bay_of_Plenty/279/2004	NZ
A/Beijing-Xicheng/12611/2010	CN
A/Beijing/20/2002	CN
A/Beijing/35/2002	CN
A/Beijing/4/2000	CN
A/Beijing/44/2002	CN
A/Beijing/51/2002	CN
A/Beijing/68/2003	CN
A/Beijing/Xicheng51/2007	CN
A/Belgrade/WRAIR2379N/2010	RS
A/Bolivia/317/2010	BO
A/Boston/56/2008	US
A/Boston/60/2008	US
A/Boston/61/2008	US
A/Boston/81/2008	US
A/Boston/DOA01/2011	US
A/Boston/DOA07/2011	US
A/Boston/DOA15/2011	US
A/Boston/DOA61/2011	US
A/Boston/DOA75/2011	US
A/Boston/DOA85/2011	US
A/Brazil/0610/2010	BR
A/Brazil/1619/2008	BR
A/Brazil/1623/2008	BR
A/Brazil/1727/2002	BR
A/Brazil/1732/2002	BR
A/Brazil/1814/2009	BR
A/Brazil/2458/2002	BR
A/Brazil/884/2009	BR
A/Brazil/933/2009	BR
A/Brazil/BR_1898_ORIGINAL/2006	BR
A/Brazil/BR_IAL_2314/2005	BR
A/Bretagne/2248/2010	FR
A/Brisbane/04/2007	AU
A/Brisbane/10/2007	AU
A/Brisbane/11/2006	AU
A/Brisbane/233/2006	AU
A/Brisbane/24/2008	AU
A/Brisbane/602/2007	AU
A/Brisbane/9/2006	AU
A/British-Columbia/RV3075/2009	CA
A/Busan/11/2001	KR
A/Busan/16/2001	KR
A/Busan/4297/2008	KR
A/Busan/44/2001	KR
A/Busan/71/2001	KR
A/CAMBODIA/1/2010	KH
A/CHILE/5109/2001	CL
A/CHILE/5299/2000	CL
A/CHILE/5823/2001	CL
A/CHRISTCHURCH/49/2010	NZ
A/COLOMBIA/3026/2001	CO
A/California/19/2010	US
A/California/25/2010	US
A/California/27/2010	US
A/California/3000/2012	US
A/California/3006/2012	US
A/California/3022/2012	US
A/California/NHRC0001/2006	US
A/California/NHRC0001/2011	US
A/California/NHRC0002/2005	US
A/California/NHRC0006/2003	US
A/California/NHRC0010/2005	US
A/California/UR06_0588/2007	US
A/California/VRDL143/2009	US
A/California/VRDL184/2009	US
A/California/VRDL216/2009	US
A/California/VRDL274/2009	US
A/Cambodia/NHRCC00001/2009	KH
A/Cambodia/Q210/2006	KH
A/Cambodia/Q342/2006	KH
A/Cambodia/R068/2007	KH
A/Cambodia/S272/2008	KH
A/Canberra/18/2009	AU
A/Canterbury/01/2002	NZ
A/Canterbury/06/2001	NZ
A/Canterbury/07/2001	NZ
A/Canterbury/102/2002	NZ
A/Canterbury/103/2004	NZ
A/Canterbury/127/2005	NZ
A/Canterbury/140/2001	NZ
A/Canterbury/149/2001	NZ
A/Canterbury/18/2004	NZ
A/Canterbury/20/2005	NZ
A/Canterbury/21/2004	NZ
A/Canterbury/212/2005	NZ
A/Canterbury/248/2005	NZ
A/Canterbury/313/2004	NZ
A/Canterbury/395/2003	NZ
A/Canterbury/435/2003	NZ
A/Canterbury/47/2002	NZ
A/Canterbury/58/2002	NZ
A/Canterbury/60/2002	NZ
A/Canterbury/75/2000	NZ
A/Canterbury/81/2000	NZ
A/Ceara/177/2002	BR
A/Chanchamayo/FSJ1176/2006	PE
A/Chennai/0634985/141106	IN
A/Cheongju/H380/2007	KR
A/Cheongju/H393/2007	KR
A/Cheongju/H397/2008	KR
A/Cheongju/H412/2008	KR
A/Cheongju/H471/2008	KR
A/Chile/5845/2010	CL
A/Chile/6278/2010	CL
A/Chile/6380/2010	CL
A/Chongqing-Banan/1286/2010	CN
A/Chongqing/257/2003	CN
A/Chongqing/Yuzhong169/2007	CN
A/Christchurch/05/2008	NZ
A/Christchurch/1/2007	NZ
A/Christchurch/14/2004	NZ
A/Christchurch/19/2006	NZ
A/Christchurch/19/2008	NZ
A/Chungbuk/4137/2008	KR
A/Chungnam/1463/2007	KR
A/Chungnam/1929/2007	KR
A/Colombia/227/2009	CO
A/Colombia/6123/2009	CO
A/Colombia/7158/2009	CO
A/Colorado/2971/2012	US
A/Colorado/3005/2012	US
A/Colorado/3010/2012	US
A/Colorado/AF2822/2012	US
A/Colorado/UR06_0023/2007	US
A/Cordoba/1007333/01	ES
A/DaNang/DN453/2008	VN
A/Daegu/277/2004	KR
A/Daegu/4165/2008	KR
A/Daegu/418/2004	KR
A/Daegu/626/2004	KR
A/Darwin/20/2007	AU
A/Darwin/3/2007	AU
A/Darwin/4/2007	AU
A/Deajeon/2943/2010	KR
A/Delhi/0635427/100506	IN
A/Delhi/0635431/190706	IN
A/Denmark/08/2002	DK
A/Denmark/105/2010	DK
A/Denmark/200/2000	DK
A/Denmark/203/2000	DK
A/Denmark/204/2000	DK
A/Denmark/206/2000	DK
A/Denmark/207/2000	DK
A/Denmark/21/2011	DK
A/Denmark/22/2011	DK
A/Denmark/24/2002	DK
A/District-of-Columbia/01/2010	US
A/District_of_Columbia/AF2775/2012	US
A/Dnipropetrovsk/324/2007	UA
A/Dnipropetrovsk/429/2007	UA
A/Donetsk/248/2009	UA
A/Dunedin/14/2002	NZ
A/ECUADOR/2635/2001	EC
A/England/293/2008	GB
A/England/359/2007	GB
A/England/3940462/2010	GB
A/England/4414681/2004	GB
A/England/446040/2004	GB
A/England/455/2002	GB
A/England/46/2004	GB
A/England/47/2004	GB
A/England/470/2007	GB
A/England/472/2005	GB
A/England/49/2004	GB
A/England/5014715/2004	GB
A/England/502689/2005	GB
A/England/5070214/2005	GB
A/England/51/2004	GB
A/England/512060/2005	GB
A/England/5134761/2005	GB
A/England/53/2004	GB
A/England/534/2003	GB
A/England/55243/2005	GB
A/England/55281/2005	GB
A/England/556/2006	GB
A/England/557/2006	GB
A/England/558/2003	GB
A/England/558/2006	GB
A/England/560/2006	GB
A/England/567/2003	GB
A/England/568/2003	GB
A/England/585/2003	GB
A/England/60384/2006	GB
A/England/60385/2006	GB
A/England/61007/2006	GB
A/England/613446/2006	GB
A/England/61762/2006	GB
A/England/642/2003	GB
A/England/646836/2006	GB
A/England/687/2008	GB
A/England/691/2010	GB
A/England/695/2008	GB
A/England/699/2008	GB
A/England/749411/2007	GB
A/England/79/2007	GB
A/EspiritoSanto/128/00	BR
A/EspiritoSanto/88/02	BR
A/FIJI/52/2010	FJ
A/FUKUOKA/15/2002	JP
A/FUKUSHIMA/127/2001	JP
A/Finland/9/2008	FI
A/Firenze/24/08	IT
A/Florida/07/2007	US
A/Florida/10/2008	US
A/Florida/19/2010	US
A/Florida/UR07_0150/2008	US
A/Fujian-Siming/1242/2008	CN
A/Fujian-Tongan/196/2009	CN
A/Fukuoka/F19/2006	JP
A/Fukuoka/F484/2005	JP
A/Fukuoka/F488/2005	JP
A/Fukuoka/F489/2005	JP
A/Fukuoka/F52/2006	JP
A/Galati/47519/2011	RO
A/Gansu/271/2003	CN
A/Gansu/Baiyin39/2007	CN
A/Gansu/Chengguan11/2007	CN
A/Geneva/1491091/2009	CH
A/Geneva/1570509/2009	CH
A/Geneva/4149722/2010	CH
A/Genoa/1/2002	IT
A/Georgia/NHRC0001/2006	US
A/Guangdong/04/2007	CN
A/Guangdong/17/2007	CN
A/Guangdong/30/2007	CN
A/Guangdong/322/2010	CN
A/Guangdong/429/2010	CN
A/Guangdong/441/2010	CN
A/Guangdong/472/2009	CN
A/Guangdong/548/2008	CN
A/Guangdong/578/2008	CN
A/Guangdong/692/2003	CN
A/Guangdong/94/2011	CN
