"","Nimba","RiverCess","RiverGee","Sinoe","Bomi","Bong","Gbarpolu","GrandCapeMount","GrandBassa","GrandGedeh","GrandKru","Lofa","Margibi","Maryland","Montserrado","Boffa","Boke","Fria","Conakry","Dabola","Dinguiraye","Faranah","Kissidougou","Kankan","Kerouane","Kouroussa","Siguiri","Coyah","Dubreka","Forecariah","Kindia","Telimele","Mali","Tougue","Dalaba","Pita","Beyla","Gueckedou","Lola","Macenta","Nzerekore","Yamou","Kailahun","Kenema","Kono","Bombali","Kambia","Koinadugu","PortLoko","Tonkolili","Bo","Bonthe","Moyamba","Pujehun","WesternRural","WesternUrban"
"Nimba",1,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124
"RiverCess",-1.9601365376,1,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376
"RiverGee",-1.78070721933,-1.43401551925,1,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933
"Sinoe",-1.15674947368,0.385064444349,-1.63196806331,1,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925
"Bomi",-1.05156037219,-0.27440179941,-1.11702947659,-2.16550885487,1,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368
"Bong",0.148302962583,0.38883828878,-1.06039123542,2.10852209562,-0.454649698108,1,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349,0.385064444349
"Gbarpolu",0.897331380586,-1.2653793481,2.72708363987,-0.795332544615,-0.591644669315,-0.513052519734,1,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331,-1.63196806331
"GrandCapeMount",0.0800115377643,0.558272135101,-0.0102112706301,-0.437050389223,0.7656464306,-1.37076692653,0.0730159490428,1,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219
"GrandBassa",0.617692227469,0.90120318057,-0.0177045023663,-0.352061329449,-0.837046459701,-0.593445857116,0.0124841464531,-0.276714641266,1,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941
"GrandGedeh",1.57408150835,-0.309838560712,0.994308059977,0.549209957972,0.21757420151,0.696022975666,1.19158823307,0.334083087291,0.822364432611,1,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659,-1.11702947659
