"","Nimba","RiverCess","RiverGee","Sinoe","Bomi","Bong","Gbarpolu","GrandCapeMount","GrandBassa","GrandGedeh","GrandKru","Lofa","Margibi","Maryland","Montserrado","Boffa","Boke","Fria","Conakry","Dabola","Dinguiraye","Faranah","Kissidougou","Kankan","Kerouane","Kouroussa","Siguiri","Coyah","Dubreka","Forecariah","Kindia","Telimele","Mali","Tougue","Dalaba","Pita","Beyla","Gueckedou","Lola","Macenta","Nzerekore","Yamou","Kailahun","Kenema","Kono","Bombali","Kambia","Koinadugu","PortLoko","Tonkolili","Bo","Bonthe","Moyamba","Pujehun","WesternRural","WesternUrban"
"Nimba",1,-1.53383854724,-0.440765089426,-1.70551660182,-1.02184931642,-1.22706362839,-0.757008565111,-0.770757390957,-1.15062206384,-0.567964701158,-0.361529774117,-0.986967475579,-0.872330311552,-0.215725088015,-1.04012584782,1.26801353888,0.686019169508,1.05515822119,0.224758372013,1.57452717854,1.86669646505,1.1899402123,0.759991500829,1.03142952468,0.219771266576,1.39757509655,1.63909634285,0.803626662492,0.843949749641,1.27718282265,0.78245858208,1.07236076855,1.7765123728,1.71640012344,0.998658679572,0.96127156043,-0.114719741637,0.203529039395,-0.447641210281,-0.81546350569,-0.559508415941,-1.85470418039,-0.720660006067,-0.722437350265,-0.264810268433,0.435020541377,0.537377977543,0.352676271565,-0.248729886123,-0.342861697434,-0.533613423287,-0.48050297355,-0.523513379444,-0.678618884342,-1.27888571036,-1.36426438494
"RiverCess",-1.0710026209,1,-0.440765089426,-1.70551660182,-1.02184931642,-1.22706362839,-0.757008565111,-0.770757390957,-1.15062206384,-0.567964701158,-0.361529774117,-0.986967475579,-0.872330311552,-0.215725088015,-1.04012584782,1.26801353888,0.686019169508,1.05515822119,0.224758372013,1.57452717854,1.86669646505,1.1899402123,0.759991500829,1.03142952468,0.219771266576,1.39757509655,1.63909634285,0.803626662492,0.843949749641,1.27718282265,0.78245858208,1.07236076855,1.7765123728,1.71640012344,0.998658679572,0.96127156043,-0.114719741637,0.203529039395,-0.447641210281,-0.81546350569,-0.559508415941,-1.85470418039,-0.720660006067,-0.722437350265,-0.264810268433,0.435020541377,0.537377977543,0.352676271565,-0.248729886123,-0.342861697434,-0.533613423287,-0.48050297355,-0.523513379444,-0.678618884342,-1.27888571036,-1.36426438494
"RiverGee",-1.0710026209,-1.0710026209,1,-1.70551660182,-1.02184931642,-1.22706362839,-0.757008565111,-0.770757390957,-1.15062206384,-0.567964701158,-0.361529774117,-0.986967475579,-0.872330311552,-0.215725088015,-1.04012584782,1.26801353888,0.686019169508,1.05515822119,0.224758372013,1.57452717854,1.86669646505,1.1899402123,0.759991500829,1.03142952468,0.219771266576,1.39757509655,1.63909634285,0.803626662492,0.843949749641,1.27718282265,0.78245858208,1.07236076855,1.7765123728,1.71640012344,0.998658679572,0.96127156043,-0.114719741637,0.203529039395,-0.447641210281,-0.81546350569,-0.559508415941,-1.85470418039,-0.720660006067,-0.722437350265,-0.264810268433,0.435020541377,0.537377977543,0.352676271565,-0.248729886123,-0.342861697434,-0.533613423287,-0.48050297355,-0.523513379444,-0.678618884342,-1.27888571036,-1.36426438494
"Sinoe",-1.0710026209,-1.0710026209,-1.0710026209,1,-1.02184931642,-1.22706362839,-0.757008565111,-0.770757390957,-1.15062206384,-0.567964701158,-0.361529774117,-0.986967475579,-0.872330311552,-0.215725088015,-1.04012584782,1.26801353888,0.686019169508,1.05515822119,0.224758372013,1.57452717854,1.86669646505,1.1899402123,0.759991500829,1.03142952468,0.219771266576,1.39757509655,1.63909634285,0.803626662492,0.843949749641,1.27718282265,0.78245858208,1.07236076855,1.7765123728,1.71640012344,0.998658679572,0.96127156043,-0.114719741637,0.203529039395,-0.447641210281,-0.81546350569,-0.559508415941,-1.85470418039,-0.720660006067,-0.722437350265,-0.264810268433,0.435020541377,0.537377977543,0.352676271565,-0.248729886123,-0.342861697434,-0.533613423287,-0.48050297355,-0.523513379444,-0.678618884342,-1.27888571036,-1.36426438494
"Bomi",-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,1,-1.22706362839,-0.757008565111,-0.770757390957,-1.15062206384,-0.567964701158,-0.361529774117,-0.986967475579,-0.872330311552,-0.215725088015,-1.04012584782,1.26801353888,0.686019169508,1.05515822119,0.224758372013,1.57452717854,1.86669646505,1.1899402123,0.759991500829,1.03142952468,0.219771266576,1.39757509655,1.63909634285,0.803626662492,0.843949749641,1.27718282265,0.78245858208,1.07236076855,1.7765123728,1.71640012344,0.998658679572,0.96127156043,-0.114719741637,0.203529039395,-0.447641210281,-0.81546350569,-0.559508415941,-1.85470418039,-0.720660006067,-0.722437350265,-0.264810268433,0.435020541377,0.537377977543,0.352676271565,-0.248729886123,-0.342861697434,-0.533613423287,-0.48050297355,-0.523513379444,-0.678618884342,-1.27888571036,-1.36426438494
"Bong",-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,1,-0.757008565111,-0.770757390957,-1.15062206384,-0.567964701158,-0.361529774117,-0.986967475579,-0.872330311552,-0.215725088015,-1.04012584782,1.26801353888,0.686019169508,1.05515822119,0.224758372013,1.57452717854,1.86669646505,1.1899402123,0.759991500829,1.03142952468,0.219771266576,1.39757509655,1.63909634285,0.803626662492,0.843949749641,1.27718282265,0.78245858208,1.07236076855,1.7765123728,1.71640012344,0.998658679572,0.96127156043,-0.114719741637,0.203529039395,-0.447641210281,-0.81546350569,-0.559508415941,-1.85470418039,-0.720660006067,-0.722437350265,-0.264810268433,0.435020541377,0.537377977543,0.352676271565,-0.248729886123,-0.342861697434,-0.533613423287,-0.48050297355,-0.523513379444,-0.678618884342,-1.27888571036,-1.36426438494
"Gbarpolu",-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,1,-0.770757390957,-1.15062206384,-0.567964701158,-0.361529774117,-0.986967475579,-0.872330311552,-0.215725088015,-1.04012584782,1.26801353888,0.686019169508,1.05515822119,0.224758372013,1.57452717854,1.86669646505,1.1899402123,0.759991500829,1.03142952468,0.219771266576,1.39757509655,1.63909634285,0.803626662492,0.843949749641,1.27718282265,0.78245858208,1.07236076855,1.7765123728,1.71640012344,0.998658679572,0.96127156043,-0.114719741637,0.203529039395,-0.447641210281,-0.81546350569,-0.559508415941,-1.85470418039,-0.720660006067,-0.722437350265,-0.264810268433,0.435020541377,0.537377977543,0.352676271565,-0.248729886123,-0.342861697434,-0.533613423287,-0.48050297355,-0.523513379444,-0.678618884342,-1.27888571036,-1.36426438494
"GrandCapeMount",-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,1,-1.15062206384,-0.567964701158,-0.361529774117,-0.986967475579,-0.872330311552,-0.215725088015,-1.04012584782,1.26801353888,0.686019169508,1.05515822119,0.224758372013,1.57452717854,1.86669646505,1.1899402123,0.759991500829,1.03142952468,0.219771266576,1.39757509655,1.63909634285,0.803626662492,0.843949749641,1.27718282265,0.78245858208,1.07236076855,1.7765123728,1.71640012344,0.998658679572,0.96127156043,-0.114719741637,0.203529039395,-0.447641210281,-0.81546350569,-0.559508415941,-1.85470418039,-0.720660006067,-0.722437350265,-0.264810268433,0.435020541377,0.537377977543,0.352676271565,-0.248729886123,-0.342861697434,-0.533613423287,-0.48050297355,-0.523513379444,-0.678618884342,-1.27888571036,-1.36426438494
"GrandBassa",-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,1,-0.567964701158,-0.361529774117,-0.986967475579,-0.872330311552,-0.215725088015,-1.04012584782,1.26801353888,0.686019169508,1.05515822119,0.224758372013,1.57452717854,1.86669646505,1.1899402123,0.759991500829,1.03142952468,0.219771266576,1.39757509655,1.63909634285,0.803626662492,0.843949749641,1.27718282265,0.78245858208,1.07236076855,1.7765123728,1.71640012344,0.998658679572,0.96127156043,-0.114719741637,0.203529039395,-0.447641210281,-0.81546350569,-0.559508415941,-1.85470418039,-0.720660006067,-0.722437350265,-0.264810268433,0.435020541377,0.537377977543,0.352676271565,-0.248729886123,-0.342861697434,-0.533613423287,-0.48050297355,-0.523513379444,-0.678618884342,-1.27888571036,-1.36426438494
"GrandGedeh",-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,1,-0.361529774117,-0.986967475579,-0.872330311552,-0.215725088015,-1.04012584782,1.26801353888,0.686019169508,1.05515822119,0.224758372013,1.57452717854,1.86669646505,1.1899402123,0.759991500829,1.03142952468,0.219771266576,1.39757509655,1.63909634285,0.803626662492,0.843949749641,1.27718282265,0.78245858208,1.07236076855,1.7765123728,1.71640012344,0.998658679572,0.96127156043,-0.114719741637,0.203529039395,-0.447641210281,-0.81546350569,-0.559508415941,-1.85470418039,-0.720660006067,-0.722437350265,-0.264810268433,0.435020541377,0.537377977543,0.352676271565,-0.248729886123,-0.342861697434,-0.533613423287,-0.48050297355,-0.523513379444,-0.678618884342,-1.27888571036,-1.36426438494
