"","Nimba","RiverCess","RiverGee","Sinoe","Bomi","Bong","Gbarpolu","GrandCapeMount","GrandBassa","GrandGedeh","GrandKru","Lofa","Margibi","Maryland","Montserrado","Boffa","Boke","Fria","Conakry","Dabola","Dinguiraye","Faranah","Kissidougou","Kankan","Kerouane","Kouroussa","Siguiri","Coyah","Dubreka","Forecariah","Kindia","Telimele","Mali","Tougue","Dalaba","Pita","Beyla","Gueckedou","Lola","Macenta","Nzerekore","Yamou","Kailahun","Kenema","Kono","Bombali","Kambia","Koinadugu","PortLoko","Tonkolili","Bo","Bonthe","Moyamba","Pujehun","WesternRural","WesternUrban"
"Nimba",1,-0.169616103475,-0.162147962037,-0.254612618919,-0.0560933857421,-0.223617028643,0.341797102762,0.0285547952272,-0.0771293333951,0.315112453252,-0.7354725505,-0.764580630213,0.14416501497,-0.597131740004,0.0579775564412,2.86017884793,1.43243709508,1.67949530834,1.5462179181,-0.77365703839,0.201336458446,-0.513283720538,-0.908952479137,-0.0469594207094,-1.43588321382,0.11401738191,0.654420034563,1.40553909234,1.7611151948,1.99093678891,0.497045194995,0.256665050169,0.0702446273703,-1.19916810715,-2.06823240904,-1.11125727232,-1.17929072372,-0.480681949544,-1.50371367338,-1.8983197295,-1.57155821182,-1.01742415628,-0.0957174751426,-0.0701598982013,-0.555718580243,1.17056110948,1.49392457117,-0.656136352587,0.772305865516,0.119982701595,0.350942334539,0.82938074279,0.425401321217,0.806265756469,-0.335215034441,-0.543778373309
"RiverCess",-0.320511146169,1,-0.162147962037,-0.254612618919,-0.0560933857421,-0.223617028643,0.341797102762,0.0285547952272,-0.0771293333951,0.315112453252,-0.7354725505,-0.764580630213,0.14416501497,-0.597131740004,0.0579775564412,2.86017884793,1.43243709508,1.67949530834,1.5462179181,-0.77365703839,0.201336458446,-0.513283720538,-0.908952479137,-0.0469594207094,-1.43588321382,0.11401738191,0.654420034563,1.40553909234,1.7611151948,1.99093678891,0.497045194995,0.256665050169,0.0702446273703,-1.19916810715,-2.06823240904,-1.11125727232,-1.17929072372,-0.480681949544,-1.50371367338,-1.8983197295,-1.57155821182,-1.01742415628,-0.0957174751426,-0.0701598982013,-0.555718580243,1.17056110948,1.49392457117,-0.656136352587,0.772305865516,0.119982701595,0.350942334539,0.82938074279,0.425401321217,0.806265756469,-0.335215034441,-0.543778373309
"RiverGee",-0.320511146169,-0.320511146169,1,-0.254612618919,-0.0560933857421,-0.223617028643,0.341797102762,0.0285547952272,-0.0771293333951,0.315112453252,-0.7354725505,-0.764580630213,0.14416501497,-0.597131740004,0.0579775564412,2.86017884793,1.43243709508,1.67949530834,1.5462179181,-0.77365703839,0.201336458446,-0.513283720538,-0.908952479137,-0.0469594207094,-1.43588321382,0.11401738191,0.654420034563,1.40553909234,1.7611151948,1.99093678891,0.497045194995,0.256665050169,0.0702446273703,-1.19916810715,-2.06823240904,-1.11125727232,-1.17929072372,-0.480681949544,-1.50371367338,-1.8983197295,-1.57155821182,-1.01742415628,-0.0957174751426,-0.0701598982013,-0.555718580243,1.17056110948,1.49392457117,-0.656136352587,0.772305865516,0.119982701595,0.350942334539,0.82938074279,0.425401321217,0.806265756469,-0.335215034441,-0.543778373309
"Sinoe",-0.320511146169,-0.320511146169,-0.320511146169,1,-0.0560933857421,-0.223617028643,0.341797102762,0.0285547952272,-0.0771293333951,0.315112453252,-0.7354725505,-0.764580630213,0.14416501497,-0.597131740004,0.0579775564412,2.86017884793,1.43243709508,1.67949530834,1.5462179181,-0.77365703839,0.201336458446,-0.513283720538,-0.908952479137,-0.0469594207094,-1.43588321382,0.11401738191,0.654420034563,1.40553909234,1.7611151948,1.99093678891,0.497045194995,0.256665050169,0.0702446273703,-1.19916810715,-2.06823240904,-1.11125727232,-1.17929072372,-0.480681949544,-1.50371367338,-1.8983197295,-1.57155821182,-1.01742415628,-0.0957174751426,-0.0701598982013,-0.555718580243,1.17056110948,1.49392457117,-0.656136352587,0.772305865516,0.119982701595,0.350942334539,0.82938074279,0.425401321217,0.806265756469,-0.335215034441,-0.543778373309
"Bomi",-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,1,-0.223617028643,0.341797102762,0.0285547952272,-0.0771293333951,0.315112453252,-0.7354725505,-0.764580630213,0.14416501497,-0.597131740004,0.0579775564412,2.86017884793,1.43243709508,1.67949530834,1.5462179181,-0.77365703839,0.201336458446,-0.513283720538,-0.908952479137,-0.0469594207094,-1.43588321382,0.11401738191,0.654420034563,1.40553909234,1.7611151948,1.99093678891,0.497045194995,0.256665050169,0.0702446273703,-1.19916810715,-2.06823240904,-1.11125727232,-1.17929072372,-0.480681949544,-1.50371367338,-1.8983197295,-1.57155821182,-1.01742415628,-0.0957174751426,-0.0701598982013,-0.555718580243,1.17056110948,1.49392457117,-0.656136352587,0.772305865516,0.119982701595,0.350942334539,0.82938074279,0.425401321217,0.806265756469,-0.335215034441,-0.543778373309
"Bong",-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,1,0.341797102762,0.0285547952272,-0.0771293333951,0.315112453252,-0.7354725505,-0.764580630213,0.14416501497,-0.597131740004,0.0579775564412,2.86017884793,1.43243709508,1.67949530834,1.5462179181,-0.77365703839,0.201336458446,-0.513283720538,-0.908952479137,-0.0469594207094,-1.43588321382,0.11401738191,0.654420034563,1.40553909234,1.7611151948,1.99093678891,0.497045194995,0.256665050169,0.0702446273703,-1.19916810715,-2.06823240904,-1.11125727232,-1.17929072372,-0.480681949544,-1.50371367338,-1.8983197295,-1.57155821182,-1.01742415628,-0.0957174751426,-0.0701598982013,-0.555718580243,1.17056110948,1.49392457117,-0.656136352587,0.772305865516,0.119982701595,0.350942334539,0.82938074279,0.425401321217,0.806265756469,-0.335215034441,-0.543778373309
"Gbarpolu",-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,1,0.0285547952272,-0.0771293333951,0.315112453252,-0.7354725505,-0.764580630213,0.14416501497,-0.597131740004,0.0579775564412,2.86017884793,1.43243709508,1.67949530834,1.5462179181,-0.77365703839,0.201336458446,-0.513283720538,-0.908952479137,-0.0469594207094,-1.43588321382,0.11401738191,0.654420034563,1.40553909234,1.7611151948,1.99093678891,0.497045194995,0.256665050169,0.0702446273703,-1.19916810715,-2.06823240904,-1.11125727232,-1.17929072372,-0.480681949544,-1.50371367338,-1.8983197295,-1.57155821182,-1.01742415628,-0.0957174751426,-0.0701598982013,-0.555718580243,1.17056110948,1.49392457117,-0.656136352587,0.772305865516,0.119982701595,0.350942334539,0.82938074279,0.425401321217,0.806265756469,-0.335215034441,-0.543778373309
"GrandCapeMount",-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,1,-0.0771293333951,0.315112453252,-0.7354725505,-0.764580630213,0.14416501497,-0.597131740004,0.0579775564412,2.86017884793,1.43243709508,1.67949530834,1.5462179181,-0.77365703839,0.201336458446,-0.513283720538,-0.908952479137,-0.0469594207094,-1.43588321382,0.11401738191,0.654420034563,1.40553909234,1.7611151948,1.99093678891,0.497045194995,0.256665050169,0.0702446273703,-1.19916810715,-2.06823240904,-1.11125727232,-1.17929072372,-0.480681949544,-1.50371367338,-1.8983197295,-1.57155821182,-1.01742415628,-0.0957174751426,-0.0701598982013,-0.555718580243,1.17056110948,1.49392457117,-0.656136352587,0.772305865516,0.119982701595,0.350942334539,0.82938074279,0.425401321217,0.806265756469,-0.335215034441,-0.543778373309
"GrandBassa",-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,1,0.315112453252,-0.7354725505,-0.764580630213,0.14416501497,-0.597131740004,0.0579775564412,2.86017884793,1.43243709508,1.67949530834,1.5462179181,-0.77365703839,0.201336458446,-0.513283720538,-0.908952479137,-0.0469594207094,-1.43588321382,0.11401738191,0.654420034563,1.40553909234,1.7611151948,1.99093678891,0.497045194995,0.256665050169,0.0702446273703,-1.19916810715,-2.06823240904,-1.11125727232,-1.17929072372,-0.480681949544,-1.50371367338,-1.8983197295,-1.57155821182,-1.01742415628,-0.0957174751426,-0.0701598982013,-0.555718580243,1.17056110948,1.49392457117,-0.656136352587,0.772305865516,0.119982701595,0.350942334539,0.82938074279,0.425401321217,0.806265756469,-0.335215034441,-0.543778373309
"GrandGedeh",-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,1,-0.7354725505,-0.764580630213,0.14416501497,-0.597131740004,0.0579775564412,2.86017884793,1.43243709508,1.67949530834,1.5462179181,-0.77365703839,0.201336458446,-0.513283720538,-0.908952479137,-0.0469594207094,-1.43588321382,0.11401738191,0.654420034563,1.40553909234,1.7611151948,1.99093678891,0.497045194995,0.256665050169,0.0702446273703,-1.19916810715,-2.06823240904,-1.11125727232,-1.17929072372,-0.480681949544,-1.50371367338,-1.8983197295,-1.57155821182,-1.01742415628,-0.0957174751426,-0.0701598982013,-0.555718580243,1.17056110948,1.49392457117,-0.656136352587,0.772305865516,0.119982701595,0.350942334539,0.82938074279,0.425401321217,0.806265756469,-0.335215034441,-0.543778373309
